id,name,category,subcat,address,phone,editorial
TCL-0101,五阿姨早餐店,餐廳,早餐,宜蘭縣頭城鎮城西里吉祥路32號,0953-911-231,每年《頭城二三事》整理農曆春節營業資訊時，五阿姨早餐店都是第一批示範店家。來這裡，蛋餅配蘿蔔糕是很值得點的一組。
TCL-0102,黑白配冰沙豆花,點心,冰品甜品,宜蘭縣頭城鎮拔雅里公園路54號,03-977-0258,黑糖冰沙＋牛奶冰沙＋仙草＋豆花，再自己選三種料，65 元。份量跟組合都很有誠意，而且是真的好吃。
TCL-0103,Overtime Coffee 261 金少爺,咖啡,咖啡甜點,宜蘭縣頭城鎮城南里東五巷7號,0926-699-527,藏在頭城鎮文學巷裡的咖啡店。除了咖啡與甜點，也是 LGBTQ+ 友善空間。坐在店門口，文學巷的日常就在眼前。
TCL-0104,無名乾麵,小吃,麵店,宜蘭縣頭城鎮城南里沙成路71號,03-977-5254,頭城人的下午茶，是一碗乾麵。想吃這一味記得講「乾麵」；說「陽春麵」可是會有湯的。內行一點，還會跟老闆說：「加甜辣醬。」再配一碗排骨湯和幾盤小菜，就是很頭城的一餐。
TCL-0105,便宜之家,生活,鞋店,宜蘭縣頭城鎮城北里開蘭路111號,03-977-1177,頭城鎮上的老鞋店，也是許多頭城小小孩的好朋友。從小朋友的鞋子、拖鞋，到大人日常穿的鞋款都有。要問頭城人去哪裡買雙藍白拖？《頭城二三事》的答案很簡單：我也都來便宜之家買。
TCL-0106,五結燒餅頭城店,點心,燒餅伴手禮,宜蘭縣頭城鎮城南里沙成路61號,0966-922-235,小蔥餅是那種離開頭城，還會想帶一盒回去的味道。《頭城二三事》小編的叔叔每次從台北回來，回程都要帶上一盒。頭城店還藏了一個很推的刈包，想吃記得早點來，晚了可能就賣光啦！
TCL-0107,世昌文具鎖印,生活,文具鎖印,宜蘭縣頭城鎮城東里沙成路22號,03-977-4618,小小一間，卻像頭城人的生活百寶箱。上學缺文具、要刻印章、鑰匙和鎖有問題都可以來；過年有鞭炮，夏天又換成泳圈和玩水道具。這不是觀光景點，這就是很多頭城人一路用到大的日常。
TCL-0108,米米蔬雞,小吃,鹽水雞,宜蘭縣頭城鎮城東里開蘭舊路19號,0907-351-655,想吃消夜，又不想每次都是炸的，頭城還有這一味。配料櫃乾乾淨淨，蔬菜種類也不少，老闆娘很客氣。《頭城二三事》小編固定吃法是兩份肉＋六樣菜，一大盤有肉又有菜。
TCL-0109,蒂薾廚房,餐廳,早餐早午餐,宜蘭縣頭城鎮城北里開蘭路139號,03-977-0010,藏在頭城菜市場裡的一間舒服早餐店。夏天最重要的先講：冷氣夠冷！寵物、親子都友善，店裡還使用環保玻璃吸管。來這裡推薦直接點手作青醬雞肉白吐司；草莓產季時，還可以跟著店家團購草莓。
TCL-0110,七度鍋物,餐廳,火鍋,宜蘭縣頭城鎮武營里青雲路三段350號,03-977-7111,老闆家有自己的肉攤與漁船，保證新鮮！有兒童遊戲區，帶小孩來也方便。假日生意很好，建議一個星期之前訂位。
